,time,station_id,AtmosphericPressure,WindDirection,WindSpeed,Gust,WaveHeight,WavePeriod,MeanWaveDirection,Hmax,SeaTemperature
382923,2011-04-07 18:00:00,Belmullet-AMETS,1030.313,255.0,17.304,25.957,3.984,9.375,291.0,5.313,9.727
382934,2011-04-07 19:00:00,Belmullet-AMETS,1030.605,270.0,14.118,21.859,4.063,9.727,297.0,6.563,9.639
382940,2011-04-07 20:00:00,Belmullet-AMETS,1030.703,277.0,15.938,25.047,3.906,9.492,291.0,6.094,9.521
382941,2011-04-07 21:00:00,Belmullet-AMETS,1030.898,264.0,15.484,26.413,3.984,9.492,297.0,5.156,9.521
382950,2011-04-07 22:00:00,Belmullet-AMETS,1030.898,251.0,12.752,22.313,3.594,8.672,298.0,5.156,9.492
382958,2011-04-07 23:00:00,Belmullet-AMETS,1030.996,237.0,7.286,13.661,4.141,9.375,302.0,6.25,9.521
382964,2011-04-08 00:00:00,Belmullet-AMETS,1030.996,241.0,9.563,16.85,4.141,9.609,304.0,5.938,9.492
382968,2011-04-08 01:00:00,Belmullet-AMETS,1030.508,227.0,5.009,11.841,3.984,9.258,302.0,6.25,9.463
382976,2011-04-08 02:00:00,Belmullet-AMETS,1030.313,191.0,6.375,15.484,4.141,9.492,297.0,7.188,9.375
382980,2011-04-08 03:00:00,Belmullet-AMETS,1030.02,182.0,7.741,15.938,3.75,9.023,297.0,6.563,9.346
382987,2011-04-08 04:00:00,Belmullet-AMETS,1029.434,174.0,6.375,15.484,3.75,9.023,295.0,6.094,9.404
382990,2011-04-08 05:00:00,Belmullet-AMETS,1029.043,194.0,8.652,17.761,3.75,9.258,298.0,5.0,9.375
382996,2011-04-08 06:00:00,Belmullet-AMETS,1028.652,163.0,5.466,16.85,4.219,9.609,298.0,5.625,9.375
383001,2011-04-08 07:00:00,Belmullet-AMETS,1028.359,132.0,8.198,18.216,3.594,9.258,297.0,5.469,9.287
383008,2011-04-08 08:00:00,Belmullet-AMETS,1028.359,144.0,11.841,20.947,4.063,9.609,297.0,5.469,9.287
383014,2011-04-08 09:00:00,Belmullet-AMETS,1028.457,137.0,9.109,20.038,3.594,9.258,295.0,5.156,9.316
