,time,station_id,AtmosphericPressure,WindDirection,WindSpeed,Gust,WaveHeight,WavePeriod,MeanWaveDirection,Hmax,SeaTemperature
34520,2003-01-23 12:00:00,FS1,1028.0,200.0,17.0,,1.3,5.0,,,
34522,2003-01-23 13:00:00,FS1,1028.5,190.0,17.0,,1.3,5.0,,,
34525,2003-01-23 14:00:00,FS1,1028.5,200.0,17.0,,1.2,5.0,,,
34528,2003-01-23 15:00:00,FS1,1028.9,200.0,17.0,,1.3,5.0,,,
34531,2003-01-23 16:00:00,FS1,1029.3,200.0,19.0,,1.4,5.0,,,
34534,2003-01-23 17:00:00,FS1,1029.9,200.0,19.0,,1.3,5.0,,,
34537,2003-01-23 18:00:00,FS1,1030.3,200.0,19.0,,1.4,5.0,,,
34540,2003-01-23 19:00:00,FS1,1030.6,200.0,19.0,,1.4,4.0,,,
34543,2003-01-23 20:00:00,FS1,1030.9,210.0,19.0,,1.5,5.0,,,
34546,2003-01-23 21:00:00,FS1,1031.2,210.0,21.0,,1.5,4.0,,,
34547,2003-01-23 22:00:00,FS1,1031.1,220.0,21.0,,1.6,4.0,,,
34554,2003-01-24 00:00:00,FS1,1032.0,230.0,23.0,,1.7,5.0,,,
34557,2003-01-24 01:00:00,FS1,1031.5,220.0,19.0,,1.8,5.0,,,
34560,2003-01-24 02:00:00,FS1,1031.7,210.0,21.0,,1.7,5.0,,,
34563,2003-01-24 03:00:00,FS1,1031.7,210.0,23.0,,1.8,5.0,,,
34566,2003-01-24 04:00:00,FS1,1032.3,220.0,21.0,,1.8,5.0,,,
34569,2003-01-24 05:00:00,FS1,1032.3,230.0,21.0,,2.0,5.0,,,
34572,2003-01-24 06:00:00,FS1,1032.1,220.0,17.0,,2.0,5.0,,,
34575,2003-01-24 07:00:00,FS1,1031.8,200.0,19.0,,2.2,5.0,,,
34578,2003-01-24 08:00:00,FS1,1032.0,200.0,23.0,,2.3,5.0,,,
34581,2003-01-24 09:00:00,FS1,1032.3,200.0,25.0,,2.1,5.0,,,
34584,2003-01-24 10:00:00,FS1,1032.7,210.0,23.0,,2.2,5.0,,,
34587,2003-01-24 11:00:00,FS1,1032.8,220.0,21.0,,2.5,6.0,,,
34590,2003-01-24 12:00:00,FS1,1032.5,210.0,21.0,,2.6,6.0,,,
34593,2003-01-24 13:00:00,FS1,1032.1,210.0,23.0,,2.6,6.0,,,
34595,2003-01-24 14:00:00,FS1,1031.7,210.0,25.0,,2.6,6.0,,,
34599,2003-01-24 15:00:00,FS1,1031.2,210.0,23.0,,2.9,7.0,,,
34600,2003-01-24 16:00:00,FS1,1030.6,210.0,23.0,,2.6,6.0,,,
34605,2003-01-24 17:00:00,FS1,1030.1,210.0,29.0,,2.8,6.0,,,
34608,2003-01-24 18:00:00,FS1,1029.9,210.0,23.0,,2.9,6.0,,,
34611,2003-01-24 19:00:00,FS1,1029.7,200.0,25.0,,3.2,6.0,,,
34614,2003-01-24 20:00:00,FS1,1029.2,200.0,29.0,,3.2,6.0,,,
34617,2003-01-24 21:00:00,FS1,1028.3,200.0,31.0,,3.5,6.0,,,
34620,2003-01-24 22:00:00,FS1,1027.9,200.0,31.0,,3.6,6.0,,,
34623,2003-01-24 23:00:00,FS1,1027.3,210.0,31.0,,3.5,6.0,,,
34625,2003-01-25 00:00:00,FS1,1027.1,220.0,33.0,,3.6,6.0,,,
34628,2003-01-25 01:00:00,FS1,1026.6,220.0,31.0,,3.6,6.0,,,
34633,2003-01-25 03:00:00,FS1,1027.0,250.0,29.0,,3.3,6.0,,,
34636,2003-01-25 04:00:00,FS1,1027.0,250.0,29.0,,3.3,6.0,,,
34639,2003-01-25 05:00:00,FS1,1027.7,260.0,31.0,,3.6,7.0,,,
34642,2003-01-25 06:00:00,FS1,1028.4,260.0,23.0,,3.7,7.0,,,
34645,2003-01-25 07:00:00,FS1,1028.9,260.0,21.0,,3.3,7.0,,,
34647,2003-01-25 08:00:00,FS1,1029.6,260.0,23.0,,3.3,6.0,,,
34649,2003-01-25 09:00:00,FS1,1030.8,270.0,25.0,,3.5,7.0,,,
34652,2003-01-25 10:00:00,FS1,1031.2,270.0,21.0,,3.2,7.0,,,
34657,2003-01-25 12:00:00,FS1,1032.3,270.0,17.0,,3.1,7.0,,,
34658,2003-01-25 13:00:00,FS1,1032.8,260.0,17.0,,2.5,7.0,,,
34663,2003-01-25 14:00:00,FS1,1033.0,270.0,25.0,,2.4,7.0,,,
34666,2003-01-25 15:00:00,FS1,1033.1,260.0,19.0,,2.2,6.0,,,
34669,2003-01-25 16:00:00,FS1,1033.5,270.0,19.0,,2.4,7.0,,,
34672,2003-01-25 17:00:00,FS1,1034.0,270.0,17.0,,2.1,6.0,,,
34675,2003-01-25 18:00:00,FS1,1033.7,260.0,17.0,,2.5,7.0,,,
34678,2003-01-25 19:00:00,FS1,1034.3,250.0,17.0,,2.4,7.0,,,
34681,2003-01-25 20:00:00,FS1,1034.6,250.0,17.0,,2.3,6.0,,,
34684,2003-01-25 21:00:00,FS1,1034.0,240.0,19.0,,2.4,7.0,,,
34687,2003-01-25 22:00:00,FS1,1033.5,240.0,21.0,,2.4,7.0,,,
34690,2003-01-25 23:00:00,FS1,1033.4,250.0,23.0,,2.4,7.0,,,
34692,2003-01-26 00:00:00,FS1,1033.0,250.0,23.0,,2.6,7.0,,,
34695,2003-01-26 01:00:00,FS1,1032.6,260.0,27.0,,2.6,6.0,,,
34698,2003-01-26 02:00:00,FS1,1032.2,250.0,25.0,,2.6,6.0,,,
34701,2003-01-26 03:00:00,FS1,1032.4,260.0,25.0,,2.5,6.0,,,
34704,2003-01-26 04:00:00,FS1,1032.3,260.0,25.0,,2.4,6.0,,,
34709,2003-01-26 06:00:00,FS1,1032.3,260.0,25.0,,2.4,6.0,,,
34712,2003-01-26 07:00:00,FS1,1031.5,260.0,29.0,,2.7,6.0,,,
34715,2003-01-26 08:00:00,FS1,1031.4,270.0,35.0,,2.6,6.0,,,
34718,2003-01-26 09:00:00,FS1,1033.4,250.0,,,2.8,6.0,,,
34721,2003-01-26 10:00:00,FS1,1033.2,260.0,27.0,,2.6,6.0,,,
34724,2003-01-26 11:00:00,FS1,1033.6,250.0,25.0,,2.7,6.0,,,
34727,2003-01-26 12:00:00,FS1,1034.1,260.0,25.0,,2.7,6.0,,,
34730,2003-01-26 13:00:00,FS1,1034.0,270.0,25.0,,2.4,5.0,,,
34733,2003-01-26 14:00:00,FS1,1033.4,270.0,29.0,,2.6,6.0,,,
34736,2003-01-26 15:00:00,FS1,1033.4,270.0,29.0,,2.3,6.0,,,
34741,2003-01-26 17:00:00,FS1,1033.9,260.0,23.0,,2.5,6.0,,,
34744,2003-01-26 18:00:00,FS1,1034.4,260.0,23.0,,2.6,6.0,,,
34747,2003-01-26 19:00:00,FS1,1035.2,270.0,23.0,,2.4,6.0,,,
34750,2003-01-26 20:00:00,FS1,1035.4,270.0,23.0,,2.4,6.0,,,
34753,2003-01-26 21:00:00,FS1,1035.5,270.0,23.0,,2.6,6.0,,,
34756,2003-01-26 22:00:00,FS1,1035.6,260.0,21.0,,2.4,6.0,,,
34759,2003-01-26 23:00:00,FS1,1035.6,260.0,27.0,,2.4,6.0,,,
34762,2003-01-27 00:00:00,FS1,1035.7,270.0,27.0,,2.6,6.0,,,
34765,2003-01-27 01:00:00,FS1,1035.5,260.0,19.0,,2.3,6.0,,,
