,time,station_id,AtmosphericPressure,WindDirection,WindSpeed,Gust,WaveHeight,WavePeriod,MeanWaveDirection,Hmax,SeaTemperature
0,2001-02-06 13:00:00,M1,967.6,270.0,21.98,33.1,,,,,9.0
1,2001-02-06 14:00:00,M1,969.8,270.0,23.93,35.0,,,,,9.0
2,2001-02-06 15:00:00,M1,972.0,270.0,19.07,31.1,,,,,9.0
3,2001-02-06 16:00:00,M1,973.6,270.0,15.95,25.3,,,,,9.0
4,2001-02-06 18:00:00,M1,976.4,270.0,12.06,19.5,,,,,9.0
5,2001-02-06 20:00:00,M1,978.8,260.0,11.09,17.5,,,,,9.0
6,2001-02-06 21:00:00,M1,979.8,280.0,9.92,17.5,,,,,9.0
7,2001-02-06 22:00:00,M1,980.6,300.0,7.98,13.6,,,,,9.0
8,2001-02-06 23:00:00,M1,981.6,320.0,11.09,17.5,,,,,9.0
9,2001-02-07 00:00:00,M1,982.2,340.0,7.0,13.6,,,,,9.0
10,2001-02-07 01:00:00,M1,983.0,330.0,7.98,15.6,,,,,9.0
11,2001-02-07 03:00:00,M1,984.2,350.0,7.0,13.6,,,,,9.0
12,2001-02-07 05:00:00,M1,985.0,30.0,12.06,19.5,,,,,9.0
13,2001-02-07 06:00:00,M1,986.8,10.0,19.07,29.2,,,,,9.0
14,2001-02-07 07:00:00,M1,987.4,40.0,16.93,31.1,,,,,9.0
15,2001-02-07 08:00:00,M1,988.4,30.0,21.01,29.2,,,,,9.0
16,2001-02-07 09:00:00,M1,990.0,30.0,21.01,31.1,,,,,9.0
17,2001-02-07 10:00:00,M1,990.8,30.0,21.01,31.1,,,,,9.1
18,2001-02-07 13:00:00,M1,994.2,30.0,18.09,27.2,,,,,9.0
19,2001-02-07 14:00:00,M1,994.4,40.0,16.93,27.2,,,,,9.1
20,2001-02-07 15:00:00,M1,994.6,30.0,16.93,25.3,,,,,9.0
21,2001-02-07 16:00:00,M1,995.0,20.0,15.95,25.3,,,,,9.1
22,2001-02-07 17:00:00,M1,995.8,30.0,16.93,25.3,,,,,9.0
23,2001-02-07 19:00:00,M1,997.2,30.0,15.95,25.3,,,,,9.0
24,2001-02-07 20:00:00,M1,997.8,30.0,14.98,25.3,,,,,9.1
25,2001-02-07 21:00:00,M1,998.6,20.0,15.95,25.3,,,,,9.1
26,2001-02-07 22:00:00,M1,999.4,30.0,16.93,23.3,,,,,9.1
27,2001-02-07 23:00:00,M1,1000.0,40.0,15.95,25.3,,,,,9.1
28,2001-02-08 00:00:00,M1,1000.6,40.0,14.01,21.4,,,,,9.0
29,2001-02-08 01:00:00,M1,1001.2,30.0,14.01,19.5,,,,,9.0
30,2001-02-08 02:00:00,M1,1001.4,30.0,13.04,19.5,,,,,9.0
31,2001-02-08 03:00:00,M1,1002.2,40.0,12.06,17.5,,,,,9.0
32,2001-02-08 05:00:00,M1,1002.6,20.0,12.06,17.5,,,,,9.0
33,2001-02-08 06:00:00,M1,1003.4,20.0,7.98,13.6,,,,,9.1
34,2001-02-08 07:00:00,M1,1004.4,350.0,15.95,21.4,,,,,9.1
35,2001-02-08 08:00:00,M1,1005.0,350.0,6.03,19.5,,,,,9.1
36,2001-02-08 09:00:00,M1,1005.8,350.0,6.03,11.7,,,,,9.1
37,2001-02-08 10:00:00,M1,1006.4,340.0,6.03,11.7,,,,,9.1
38,2001-02-08 11:00:00,M1,1007.6,350.0,12.06,19.5,,,,,9.1
39,2001-02-08 12:00:00,M1,1008.2,,,15.6,,,,,9.0
40,2001-02-08 13:00:00,M1,1008.8,150.0,4.09,19.5,,,,,9.0
41,2001-02-08 14:00:00,M1,1009.0,240.0,5.06,7.8,,,,,9.0
42,2001-02-08 15:00:00,M1,1009.2,300.0,7.0,11.7,,,,,9.0
43,2001-02-08 16:00:00,M1,1009.6,250.0,8.95,11.7,,,,,9.0
44,2001-02-08 17:00:00,M1,1010.0,270.0,7.0,15.6,,,,,9.0
45,2001-02-08 19:00:00,M1,1011.8,350.0,7.0,15.6,,,,,9.0
46,2001-02-08 20:00:00,M1,1012.6,330.0,6.03,11.7,,,,,9.0
47,2001-02-08 21:00:00,M1,1013.2,290.0,7.0,13.6,,,,,9.0
48,2001-02-08 22:00:00,M1,1013.6,280.0,7.0,11.7,,,,,9.0
49,2001-02-08 23:00:00,M1,1014.2,260.0,4.09,9.7,,,,,9.0
50,2001-02-09 00:00:00,M1,1014.6,240.0,2.92,5.8,,,,,9.0
51,2001-02-09 01:00:00,M1,1014.6,200.0,2.92,5.8,,,,,9.1
52,2001-02-09 11:00:00,M1,1013.2,150.0,21.98,29.2,,,,,9.0
53,2001-02-09 12:00:00,M1,1013.2,160.0,23.93,33.1,,,,,9.1
54,2001-02-09 13:00:00,M1,1012.0,150.0,25.1,37.0,,,,,9.1
55,2001-02-09 14:00:00,M1,1010.4,150.0,28.99,38.9,,,,,9.1
56,2001-02-09 15:00:00,M1,1009.0,150.0,30.93,40.9,,,,,9.1
57,2001-02-09 16:00:00,M1,1006.4,150.0,31.91,42.8,,,,,9.1
58,2001-02-09 17:00:00,M1,1006.6,150.0,34.05,44.7,,,,,9.0
59,2001-02-09 18:00:00,M1,1004.4,150.0,35.02,50.6,,,,,9.0
60,2001-02-09 19:00:00,M1,1003.6,150.0,37.94,48.6,,,,,9.0
61,2001-02-09 20:00:00,M1,1003.8,160.0,38.91,50.6,,,,,9.0
62,2001-02-09 21:00:00,M1,1004.4,170.0,29.96,48.6,,,,,9.0
